,Date,a,p,v,Alpha Counts
40,2024-02-10,0.9049344005120648,0.002394889993194,0.4090762812961611,2.9419894379008125
41,2024-02-11,0.905557857053859,0.0024177311734495,0.4008495009156897,2.9487648366425496
42,2024-02-12,0.9061529665519156,0.0024150187796319,0.3925569704181543,2.955621960806726
43,2024-02-13,0.9009380243897368,0.0002424315292296,0.3874861133486295,2.957924825452536
44,2024-02-14,0.901617860627158,0.000296079462879,0.3790568340353087,2.9649993586036123
45,2024-02-15,0.9023992564416022,0.0003230439233628,0.370529968799421,2.972270006564798
46,2024-02-16,0.9031536115531908,0.0003794309647502,0.3619352303704233,2.979671844850684
47,2024-02-17,0.8981295481275473,0.0025648391957456,0.356644774302614,2.982356745589135
48,2024-02-18,0.8990213744379342,0.0026225619567587,0.3478954382534951,2.9899612402701066
49,2024-02-19,0.8999907904805607,0.0026688229210238,0.3390745397945171,2.9976694919727693
50,2024-02-20,0.9009491473388256,0.0027134023520458,0.3301787567010617,3.005453350193499
51,2024-02-21,0.896037720827934,0.0005792005773421,0.3247644776105188,3.007994821095865
52,2024-02-22,0.8971403255197307,0.0006379466057311,0.3157232025476983,3.0158471186788414
53,2024-02-23,0.8982676793303649,0.0007285491817145,0.3066482945827854,3.023806352090418
54,2024-02-24,0.899399054836554,0.0007898129547422,0.2975235397578557,3.031884479747618
55,2024-02-25,0.9005969319622016,0.0008874625514097,0.2883374582491858,3.04006280768717
56,2024-02-26,0.8959982090185826,0.0031311865996198,0.282692048810994,3.0425199849956446
57,2024-02-27,0.8972945664140988,0.0032077978115048,0.2733858284358572,3.0504963353540786
58,2024-02-28,0.898649032954722,0.0032657269841472,0.2640244672922903,3.058501325812736
59,2024-02-29,0.8940132510173301,0.0011845911347268,0.2584232751451874,3.060466953347915
60,2024-03-01,0.895410221337568,0.0012950213552977,0.2490025831901964,3.0685378834175854
61,2024-03-02,0.8968765622976488,0.001385948463128,0.2395051761822835,3.076713059858266
62,2024-03-03,0.8983987442737903,0.0014852925060352,0.2299688235800519,3.084898001406967
