,Date,a,p,v
76,2024-03-17,0.9056569910204793,0.0009284002165644085,0.10522137586275859
77,2024-03-18,0.9018056632346156,0.0031142623727216014,0.09946385998476315
78,2024-03-19,0.9039153633857128,0.003248673474189756,0.08952804561550312
79,2024-03-20,0.9060597307786243,0.003338779449740852,0.07957922879138396
80,2024-03-21,0.9020733680911122,0.0013855263296116036,0.07404676744735285
81,2024-03-22,0.9042486721804485,0.0015190292432447155,0.06410711002243014
82,2024-03-23,0.9065298459537369,0.001642908397267893,0.05411599050410777
83,2024-03-24,0.9087571764167227,0.0017639253369668604,0.04419642581462252
84,2024-03-25,0.9111239525485656,0.0018793093433790353,0.03419455873337439
85,2024-03-26,0.9133852793401824,0.0019889264598133348,0.0242872493137455
86,2024-03-27,0.9097467200140811,0.00010728001003701433,0.01874394164980239
